1,"('Toy Story (1995)', "Animation|Children's|Comedy")"0.64240611172
2,"('Jumanji (1995)', "Adventure|Children's|Fantasy")"0.781199885289
3,"('Grumpier Old Men (1995)', 'Comedy|Romance')"0.839836485015
4,"('Waiting to Exhale (1995)', 'Comedy|Drama')"0.655581209459
5,"('Father of the Bride Part II (1995)', 'Comedy')"0.765948619118
6,"('Heat (1995)', 'Action|Crime|Thriller')"0.831710609325
7,"('Sabrina (1995)', 'Comedy|Romance')"0.831849401038
8,"('Tom and Huck (1995)', "Adventure|Children's")"0.921340553664
9,"('Sudden Death (1995)', 'Action')"1.05782860143
10,"('GoldenEye (1995)', 'Action|Adventure|Thriller')"0.78539653642
11,"('American President, The (1995)', 'Comedy|Drama|Romance')"0.715492829483
12,"('Dracula: Dead and Loving It (1995)', 'Comedy|Horror')"0.950814796351
13,"('Balto (1995)', "Animation|Children's")"0.856315641393
14,"('Nixon (1995)', 'Drama')"0.724097242625
15,"('Cutthroat Island (1995)', 'Action|Adventure|Romance')"1.0707574848
16,"('Casino (1995)', 'Drama|Thriller')"0.806098248595
17,"('Sense and Sensibility (1995)', 'Drama|Romance')"0.659813915286
18,"('Four Rooms (1995)', 'Thriller')"0.573079032432
19,"('Ace Ventura: When Nature Calls (1995)', 'Comedy')"1.04625153106
20,"('Money Train (1995)', 'Action')"0.923103131695
21,"('Get Shorty (1995)', 'Action|Comedy|Drama')"0.762771679712
22,"('Copycat (1995)', 'Crime|Drama|Thriller')"0.893212200172
23,"('Assassins (1995)', 'Thriller')"0.989279293433
24,"('Powder (1995)', 'Drama|Sci-Fi')"0.883232776492
25,"('Leaving Las Vegas (1995)', 'Drama|Romance')"0.914763893461
26,"('Othello (1995)', 'Drama')"0.860884499008
27,"('Now and Then (1995)', 'Drama')"0.670743960992
28,"('Persuasion (1995)', 'Romance')"0.613795129654
29,"('City of Lost Children, The (1995)', 'Adventure|Sci-Fi')"0.890902523263
30,"('Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Drama')"0.664980086458
31,"('Dangerous Minds (1995)', 'Drama')"0.798626104176
32,"('Twelve Monkeys (1995)', 'Drama|Sci-Fi')"0.772662263242
34,"('Babe (1995)', "Children's|Comedy|Drama")"0.799345228521
35,"('Carrington (1995)', 'Drama|Romance')"0.880773050147
36,"('Dead Man Walking (1995)', 'Drama')"0.628769166132
37,"('Across the Sea of Time (1995)', 'Documentary')"1.99973988289
38,"('It Takes Two (1995)', 'Comedy')"1.74446481071
39,"('Clueless (1995)', 'Comedy|Romance')"0.79394473766
40,"('Cry, the Beloved Country (1995)', 'Drama')"0.429780552864
41,"('Richard III (1995)', 'Drama|War')"0.602345460656
42,"('Dead Presidents (1995)', 'Action|Crime|Drama')"0.867241228283
43,"('Restoration (1995)', 'Drama')"0.795668546976
44,"('Mortal Kombat (1995)', 'Action|Adventure')"0.938300113644
45,"('To Die For (1995)', 'Comedy|Drama')"0.856738826581
