1,"Toy Story"
2,"Jumanji"
3,"Grumpier Old Men"
4,"Waiting to Exhale"
5,"Father of the Bride Part II"
6,"Heat"
7,"Sabrina"
8,"Tom and Huck"
9,"Sudden Death"
10,"GoldenEye"
11,"American President, The"
12,"Dracula: Dead and Loving It"
13,"Balto"
14,"Nixon"
15,"Cutthroat Island"
16,"Casino"
17,"Sense and Sensibility"
18,"Four Rooms"
19,"Ace Ventura: When Nature Calls"
20,"Money Train"
21,"Get Shorty"
22,"Copycat"
23,"Assassins"
24,"Powder"
25,"Leaving Las Vegas"
26,"Othello"
27,"Now and Then"
28,"Persuasion"
29,"City of Lost Children, The"
30,"Shanghai Triad"
31,"Dangerous Minds"
32,"Twelve Monkeys"
33,"Wings of Courage"
34,"Babe"
35,"Carrington"
36,"Dead Man Walking"
37,"Across the Sea of Time"
38,"It Takes Two"
39,"Clueless"
40,"Cry, the Beloved Country"
41,"Richard III"
42,"Dead Presidents"
43,"Restoration"
44,"Mortal Kombat"
45,"To Die For"
46,"How to Make an American Quilt"
47,"Seven"
48,"Pocahontas"
49,"When Night Is Falling"
50,"Usual Suspects, The"
51,"Mighty Aphrodite"
52,"Lamerica"
53,"Big Green, The"
54,"Georgia"
55,"Kids of the Round Table"
56,"Home for the Holidays"
57,"Postino, Il"
58,"Confessional, The"
59,"Indian in the Cupboard, The"
60,"Eye for an Eye"
61,"Mr. Holland's Opus"
62,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood"
63,"Two if by Sea"
64,"Bio-Dome"
65,"Lawnmower Man 2: Beyond Cyberspace"
66,"Two Bits"
67,"French Twist"
68,"Friday"
69,"From Dusk Till Dawn"
70,"Fair Game"
71,"Kicking and Screaming"
72,"Mis̩rables, Les"
73,"Bed of Roses"
74,"Big Bully"
75,"Screamers"
76,"Nico Icon"
77,"Crossing Guard, The"
78,"Juror, The"
79,"White Balloon, The"
80,"Things to Do in Denver when You're Dead"
81,"Antonia's Line"
82,"Once Upon a Time... When We Were Colored"
83,"Last Summer in the Hamptons"
84,"Angels and Insects"
85,"White Squall"
86,"Dunston Checks In"
87,"Black Sheep"
88,"Nick of Time"
89,"Journey of August King, The"
90,"Mary Reilly"
91,"Vampire in Brooklyn"
92,"Beautiful Girls"
93,"Broken Arrow"
94,"In the Bleak Midwinter"
95,"Hate"
96,"Shopping"
97,"Heidi Fleiss: Hollywood Madam"
98,"City Hall"
99,"Bottle Rocket"
100,"Mr. Wrong"
101,"Unforgettable"
102,"Happy Gilmore"
103,"Bridges of Madison County, The"
104,"Nobody Loves Me"
105,"Muppet Treasure Island"
106,"Catwalk"
107,"Braveheart"
108,"Taxi Driver"
109,"Rumble in the Bronx"
110,"Before and After"
111,"Margaret's Museum"
112,"Anne Frank Remembered"
113,"Young Poisoner's Handbook, The"
114,"If Lucy Fell"
115,"Steal Big, Steal Little"
116,"Race the Sun"
117,"Boys of St. Vincent, The"
118,"Boomerang"
119,"Chungking Express"
120,"Star Maker, The"
121,"Flirting With Disaster"
122,"NeverEnding Story III, The"
123,"Silence of the Palace, The"
124,"Jupiter's Wife"
125,"Pie in the Sky"
126,"Angela"
127,"Frankie Starlight"
128,"Jade"
129,"Nueba Yol"
130,"Sonic Outlaws"
131,"Down Periscope"
132,"From the Journals of Jean Seberg"
133,"Man of the Year"
134,"Neon Bible, The"
135,"Target"
136,"Up Close and Personal"
137,"Birdcage, The"
138,"Shadows"
139,"Brothers McMullen, The"
140,"Bad Boys"
141,"Amazing Panda Adventure, The"
142,"Basketball Diaries, The"
143,"Awfully Big Adventure, An"
144,"Amateur"
145,"Apollo 13"
146,"Rob Roy"
147,"Addiction, The"
148,"Batman Forever"
149,"Belle de jour"
150,"Beyond Rangoon"
151,"Blue in the Face"
152,"Canadian Bacon"
153,"Casper"
154,"Clockers"
155,"Congo"
156,"Crimson Tide"
157,"Crumb"
158,"Desperado"
159,"Devil in a Blue Dress"
160,"Die Hard: With a Vengeance"
161,"Doom Generation, The"
